,ACCOUNT_ID,ACCOUNT_ORACLE_ID,ACTIVITY_COUNT,ACTIVITY_MEMBER_COUNT,TOTAL_MEMBERS,ACTIVE_MEMBERS
0,0014u0000254RFDAA2,636739,9,1,,
1,0014u00001nyOo8AAE,554300,20,6,3.0,3.0
2,0014u00001x8lD8AAI,559309,11,2,2.0,1.0
3,0014u00001ukT1TAAU,554299,1,1,1.0,
4,0014u00001x8vIYAAY,564314,2,1,3.0,3.0
5,0010g00001j4SrQAAU,165010,14,1,1.0,1.0
6,0014u00001ow5DQAAY,547301,11,1,1.0,1.0
7,0014u00001owZksAAE,568726,2,1,1.0,
8,0010g00001Z4u9KAAR,522324,69,4,5.0,5.0
9,0010g00001j66JQAAY,187010,55,3,5.0,5.0
10,0014u00001ukVEmAAM,538536,1,1,2.0,1.0
11,0014u00001yJbUTAA0,569610,9,1,1.0,1.0
12,0014u00001x9h3kAAA,563309,11,2,2.0,2.0
13,0014u00001tEpa4AAC,545301,32,3,5.0,4.0
14,0014u00001x7rm7AAA,556314,4,2,3.0,3.0
15,0014u00001x7vRPAAY,547300,27,1,1.0,1.0
16,0014u00001ukXc7AAE,545298,2,1,2.0,2.0
17,0014u00001uizemAAA,570298,7,2,3.0,2.0
18,0014u00001x9W95AAE,562312,104,2,1.0,
19,0014u00001ukI0CAAU,532310,1,1,,
20,0014u00001tE4IuAAK,536300,21,3,3.0,1.0
21,0014u00001owUZyAAM,556319,6,1,2.0,2.0
22,0014u00001tCtAwAAK,524159,7,1,1.0,1.0
23,0014u00001ukGb3AAE,545303,46,3,3.0,1.0
24,0014u00001x9SdjAAE,581738,10,2,,
25,0014u00001nzKEtAAM,359010,2,1,1.0,
26,0014u00001tE4PbAAK,519235,2,1,1.0,1.0
27,0010g00001dpCxRAAU,8964,15,3,2.0,
28,0010g00001fs9XdAAI,167010,19,2,2.0,1.0
29,0014u00001mrGtaAAE,203016,3,1,,
30,0010g00001mqoHSAAY,225010,115,8,14.0,11.0
31,0010g00001gBsk9AAC,9017,1,1,,
32,0010g00001aCIWtAAO,8862,6,1,2.0,1.0
33,0010g00001YICUrAAP,8714,58,3,4.0,4.0
34,0010g00001j4icTAAQ,9078,19,4,2.0,1.0
35,0010g00001YID8hAAH,8819,1,1,2.0,1.0
36,0010g00001Z5LfbAAF,8767,1,1,1.0,1.0
37,0010g00001bxLXcAAM,8901,5,2,3.0,1.0
38,0014u00001tEnjiAAC,520053,15,2,1.0,
39,0014u00001nz2NkAAI,383010,22,2,4.0,1.0
40,0010g00001Z5LeMAAV,520263,83,3,3.0,3.0
41,0017000001XRGFRAA5,8684,1,1,,
42,0010g00001dlnb3AAA,8893,20,3,1.0,1.0
43,0010g00001Z5Ld2AAF,416191,25,2,1.0,1.0
44,0010g00001Z5M6DAAV,8965,42,6,10.0,6.0
45,0010g00001aCKgkAAG,8780,3,2,,
46,0010g00001mqFcQAAU,562310,1,1,,
47,0014u00001oxRV9AAM,332010,19,1,3.0,2.0
48,0014u00001owmC0AAI,348010,150,4,4.0,2.0
49,0014u00001ow5AWAAY,529448,6,3,5.0,4.0
50,0014u00001ow59EAAQ,520550,57,5,4.0,4.0
51,0014u00001nzI2FAAU,388010,121,9,12.0,9.0
52,0010g00001Z5M6PAAV,298010,5,2,4.0,2.0
53,0010g00001Z5LdAAAV,339010,39,6,7.0,4.0
54,0010g00001c0DpQAAU,8889,44,7,8.0,6.0
55,0010g00001dpON4AAM,8973,23,3,4.0,3.0
56,0017000000SbV9FAAV,5147,142,3,2.0,2.0
57,0010g00001ZZMKlAAP,9063,231,3,2.0,2.0
58,0010g00001hn5XTAAY,9025,13,2,9.0,1.0
59,0010g00001j5zTYAAY,9103,130,4,4.0,3.0
60,0010g00001YJIsxAAH,8898,137,5,6.0,3.0
61,0010g00001mq5XEAAY,150011,2,1,2.0,
62,0010g00001lRzTbAAK,203013,63,2,3.0,3.0
63,0010g00001YJXCdAAP,156010,1,1,,
64,0010g00001YIVijAAH,8695,73,2,2.0,1.0
65,0010g00001gLxRdAAK,569825,1,1,1.0,
66,0010g00001j56VVAAY,9085,43,4,5.0,4.0
67,0010g00001Z5MALAA3,519505,82,1,2.0,1.0
68,0010g00001ZYLNgAAP,8801,31,3,2.0,2.0
69,0010g00001hnkiSAAQ,9041,8,3,1.0,
70,0010g00001bxwIgAAI,8837,4,2,2.0,1.0
71,0010g00001YI94SAAT,230010,7,4,7.0,7.0
72,0010g00001byOF3AAM,8859,19,2,3.0,2.0
73,0010g00001YHztsAAD,8671,1,1,1.0,1.0
74,0010g00001YIZiEAAX,8678,9,3,1.0,1.0
75,0010g00001gCXWNAA4,9064,1,1,2.0,2.0
76,0017000000Ye7K7AAJ,7450,801,10,11.0,9.0
77,0010g00001Z5LeUAAV,9082,119,1,3.0,3.0
78,0010g00001fs0CYAAY,127014,2,1,1.0,
79,0010g00001Z5Ld6AAF,187011,14,1,3.0,3.0
80,0010g00001fsKZHAA2,382010,1,1,,
81,0014u0000200nn6AAA,579104,5,1,1.0,1.0
82,0014u00001tEmyTAAS,536299,7,1,1.0,1.0
83,0014u00001tE9dOAAS,519513,17,1,1.0,1.0
84,0014u00001x7xWjAAI,557309,24,5,9.0,7.0
85,0014u00001ukekAAAQ,545297,72,2,3.0,2.0
86,0014u00001oyQWZAA2,561309,3,1,1.0,
87,0014u00001ukqwcAAA,555314,4,1,2.0,2.0
88,0014u000021m2TJAAY,588318,1,1,,
89,0014u00001x9TuqAAE,584662,1,1,1.0,1.0
90,0014u00001x7t6iAAA,559308,42,1,1.0,1.0
91,0014u00001x9YJzAAM,565356,3,1,1.0,1.0
92,0014u00001ukmPFAAY,566600,9,2,2.0,
93,0014u00001tE6dGAAS,536298,2,1,,
94,0014u00001yJHlcAAG,570161,52,3,5.0,5.0
95,0014u00001oxcP8AAI,540298,13,2,1.0,
96,0014u00001tFOLgAAO,538645,21,5,6.0,4.0
97,0014u00001nyk0ZAAQ,540300,9,1,1.0,
98,0010g00001Z5AIpAAN,8820,3,1,2.0,2.0
99,0010g00001Z3ySwAAJ,8724,50,9,10.0,6.0
100,0014u00001tDsW1AAK,522120,21,1,1.0,1.0
101,0014u00001nzHstAAE,268010,3,1,1.0,1.0
