,ACTIVITY,TS,CUSTOMER,ACTIVITY_REPEATED_AT,COUNT_IN_BETWEEN_GS_DEPLOYMENT_ACTIVITY,DEPS
0,TextComment_CC,2022-01-03,8421,2022-03-21,2,3182
1,TextComment_CC,2022-01-05,6951,2022-01-24,4,11382
2,TextComment_CC,2022-01-07,1025,2022-01-10,1,1848
3,TextComment_CC,2022-01-07,6953,2022-01-10,2,9128
4,TextComment_CC,2022-01-07,3480,2023-05-10,35,4622
5,TextComment_CC,2022-01-10,6572,2022-07-22,5,2641
6,TextComment_CC,2022-01-11,1766,2022-10-21,36,12602
7,TextComment_CC,2022-01-12,8948,2022-02-01,1,4701
8,TextComment_CC,2022-01-12,2411,2022-05-26,4,3219
9,TextComment_CC,2022-01-13,4410,2022-10-27,1,223
10,TextComment_CC,2022-01-14,1729,2022-01-17,1,2570
11,TextComment_CC,2022-01-14,6737,2022-01-24,2,8753
12,TextComment_CC,2022-01-15,2500,2022-01-28,2,10217
13,TextComment_CC,2022-01-18,6953,2022-01-20,1,9212
14,TextComment_CC,2022-01-19,3152,2022-05-24,4,1504
15,TextComment_CC,2022-01-20,6953,2022-01-24,1,9296
16,TextComment_CC,2022-01-20,6464,2023-06-02,5,514
17,TextComment_CC,2022-01-21,1305,2022-02-15,1,1497
18,TextComment_CC,2022-01-23,123010,2022-01-24,1,988
19,TextComment_CC,2022-01-24,6737,2022-02-08,2,8906
20,TextComment_CC,2022-01-24,3546,2022-02-09,1,1562
21,TextComment_CC,2022-01-24,6951,2022-07-22,21,15660
22,TextComment_CC,2022-01-25,6079,2022-03-14,3,3717
23,TextComment_CC,2022-01-26,14001,2022-01-27,1,6569
24,TextComment_CC,2022-01-27,2453,2022-02-14,1,2451
25,TextComment_CC,2022-01-27,6049,2022-02-14,3,25712
26,TextComment_CC,2022-01-27,3505,2022-03-04,1,1018
27,TextComment_CC,2022-01-27,6893,2022-04-04,1,906
28,TextComment_CC,2022-01-27,2389,2022-09-13,2,707
