,SNAPSHOT_DATE,ORG_ID,ORACLE_ID,ACCOUNT_NAME,SOFTWARE_VERSION,MODEL_NAME,SKU,PREMISE_TYPE,PREMISE_SUBTYPE,GS_30_DAYS_COUNT,GS_ALL_TIME_COUNT,GS_SUBSCRIBERS
0,2022-12-31,12835066,8951,,22.1.0.1.32,GS2028E,100-05493,GigaSpire,u4,3,3,3.0
1,2022-12-31,12835066,8951,,22.2.0.0.55,GS2028E,100-05493,GigaSpire,u4,5,15,5.0
2,2022-12-31,50035009,52013,Columbia Wireless Inc,20.1.0.0.29,GS4220E,100-05413,GigaSpire,u6.1,1,1,1.0
3,2022-12-31,12909458,554300,Desert iNet,21.2.0.0.44,GS2028E,100-05493,GigaSpire,u4,6,6,
4,2022-12-31,12909458,554300,Desert iNet,22.2.0.0.55,GS2028E,100-05493,GigaSpire,u4,50,52,15.0
5,2022-12-31,12909458,554300,Desert iNet,22.3.0.0.33,GS4220E,100-05413,GigaSpire,u6.1,6,7,6.0
6,2022-12-31,12909458,554300,Desert iNet,20.1.0.0.29,GS4220E,100-05413,GigaSpire,u6.1,1,1,1.0
7,2022-12-31,12909458,554300,Desert iNet,22.1.0.1.38,GS4220E,100-05413,GigaSpire,u6.1,3,3,3.0
8,2022-12-31,12909458,554300,Desert iNet,22.2.0.0.46,GS4220E,100-05413,GigaSpire,u6.1,224,234,216.0
9,2022-12-31,12909458,554300,Desert iNet,21.4.0.0.51,GS4220E,100-05413,GigaSpire,u6.1,1,1,1.0
10,2022-12-31,12909458,554300,Desert iNet,22.3.0.0.33,GS2028E,100-05493,GigaSpire,u4,4,4,1.0
11,2022-12-31,50045011,519919,Krakr Enterprises,21.2.0.4.48,GS4220E,100-05413,GigaSpire,u6.1,50,56,48.0
12,2022-12-31,50045011,519919,Krakr Enterprises,21.4.0.0.49,GS2028E,100-05493,GigaSpire,u4,5,6,5.0
13,2022-12-31,50045011,519919,Krakr Enterprises,21.3.0.0.48,GS4220E,100-05413,GigaSpire,u6.1,31,35,30.0
14,2022-12-31,50045011,519919,Krakr Enterprises,21.2.0.4.53,GS2028E,100-05493,GigaSpire,u4,46,59,41.0
15,2022-12-31,50045011,519919,Krakr Enterprises,21.3.0.0.54,GS2028E,100-05493,GigaSpire,u4,40,52,34.0
16,2022-12-31,50045011,519919,Krakr Enterprises,20.1.0.0.29,GS4220E,100-05413,GigaSpire,u6.1,1,3,1.0
17,2022-12-31,50045011,519919,Krakr Enterprises,20.3.0.6.62,GS4220E,100-05413,GigaSpire,u6.1,1,2,1.0
18,2022-12-31,50045011,519919,Krakr Enterprises,21.4.0.0.51,GS4220E,100-05413,GigaSpire,u6.1,9,11,8.0
19,2022-12-31,12911158,559314,Skynet 360 LLC,22.1.0.1.38,GS4220E,100-05413,GigaSpire,u6.1,1,1,1.0
20,2022-12-31,12911158,559314,Skynet 360 LLC,22.1.0.0.31,GS4220E,100-05413,GigaSpire,u6.1,31,32,31.0
21,2022-12-31,12911158,559314,Skynet 360 LLC,21.2.0.0.44,GS2028E,100-05493,GigaSpire,u4,1,2,
