,ORACLE_ID,GS_ALL_TIME_COUNT,GS_SUBSCRIBERS,NORMALIZED_DEPS,ACCOUNT_ID,ACCOUNT_ORACLE_ID,NUM_COMMENTS,TOTAL_MEMBERS,NORMALIZED_COMS
0,1001,2095,1957.0,1.0705160960654063,0017000000SbVISAA3,1001,43,20.0,2.15
1,1004,7,4.0,1.75,0017000000SbV9mAAF,1004,383,48.0,7.979166666666667
2,1022,412,362.0,1.138121546961326,0017000000SbVA1AAN,1022,1871,3.0,623.6666666666666
3,1025,3513,3478.0,1.0100632547441057,0017000000SbVJTAA3,1025,6198,8.0,774.75
4,1065,634,622.0,1.0192926045016077,0017000000SbVKPAA3,1065,350,14.0,25.0
5,1085,2844,2390.0,1.189958158995816,0017000000SbVJaAAN,1085,1666,15.0,111.06666666666666
6,1165,137,122.0,1.1229508196721312,0017000000SbVNNAA3,1165,310,3.0,103.33333333333333
7,123010,3906,3801.0,1.0276243093922652,0017000000qK9YjAAK,123010,1883,9.0,209.22222222222223
8,123024,989,964.0,1.0259336099585061,0010g00001Z5LsMAAV,123024,1055,7.0,150.71428571428572
9,123045,2836,2770.0,1.023826714801444,0010g00001Z5Lz0AAF,123045,120,6.0,20.0
10,123063,3289,3199.0,1.0281337918099407,0010g00001Z5M2qAAF,123063,121,6.0,20.166666666666668
11,123094,1787,1755.0,1.0182336182336182,0010g00001Z5LzWAAV,123094,323,8.0,40.375
12,127010,3,2.0,1.5,0017000000dwnabAAA,127010,19,1.0,19.0
13,127014,15,9.0,1.6666666666666667,0010g00001fs0CYAAY,127014,38,1.0,38.0
14,1305,2228,1973.0,1.1292448048656867,0017000000SbV8NAAV,1305,1049,7.0,149.85714285714286
15,132015,1,1.0,1.0,0010g00001Z5LtRAAV,132015,28,4.0,7.0
16,139014,1235,1165.0,1.0600858369098713,0010g00001Z5LthAAF,139014,343,7.0,49.0
17,14001,9785,9386.0,1.04251012145749,0010g00001Z5LylAAF,14001,1263,3.0,421.0
18,1405,479,472.0,1.0148305084745763,0017000000SbVA8AAN,1405,134,1.0,134.0
19,142010,6355,6246.0,1.0174511687479988,0010g00001Z5LxmAAF,142010,583,6.0,97.16666666666667
20,1445,8479,7695.0,1.1018843404808316,0017000000SbVCgAAN,1445,975,35.0,27.857142857142858
21,1465,238,226.0,1.0530973451327434,0017000000SbVETAA3,1465,218,2.0,109.0
22,1485,4398,4278.0,1.0280504908835906,0017000000SbVHpAAN,1485,624,20.0,31.2
23,150010,1894,1756.0,1.0785876993166288,0010g00001gMCUoAAO,150010,176,13.0,13.538461538461538
24,1505,35655,34688.0,1.0278770756457565,0017000000SbVKrAAN,1505,551,35.0,15.742857142857142
25,1506,931,887.0,1.0496054114994362,0017000000SbVEYAA3,1506,382,14.0,27.285714285714285
26,1525,345,318.0,1.0849056603773586,0017000000SbVDpAAN,1525,230,5.0,46.0
27,1545,16,9.0,1.7777777777777777,0017000000SbVDKAA3,1545,379,57.0,6.649122807017544
28,1585,1993,1987.0,1.0030196275792653,0017000000SbVHwAAN,1585,858,7.0,122.57142857142857
29,1625,1745,1733.0,1.006924408540104,0017000000SbV5IAAV,1625,623,12.0,51.916666666666664
30,1645,2816,2692.0,1.0460624071322437,0017000000SbVLUAA3,1645,1140,18.0,63.333333333333336
31,165010,2,1.0,2.0,0010g00001j4SrQAAU,165010,141,1.0,141.0
32,1665,117,98.0,1.1938775510204083,0017000000SbVHWAA3,1665,953,15.0,63.53333333333333
33,167010,428,424.0,1.009433962264151,0010g00001fs9XdAAI,167010,91,3.0,30.333333333333332
34,1685,1988,1840.0,1.0804347826086957,0017000000SbV9tAAF,1685,713,15.0,47.53333333333333
35,1686,2048,1960.0,1.0448979591836736,0017000000SbVHaAAN,1686,1971,14.0,140.78571428571428
36,1688,435,387.0,1.124031007751938,0017000000SbV4kAAF,1688,598,5.0,119.6
37,1690,1211,1171.0,1.0341588385994875,0017000000SbVBIAA3,1690,162,9.0,18.0
38,169010,2757,2674.0,1.031039640987285,0010g00001Z5M2oAAF,169010,267,5.0,53.4
39,17001,524,487.0,1.0759753593429158,0017000000SbVNGAA3,17001,75,3.0,25.0
40,1707,249,241.0,1.033195020746888,0017000000SbVFHAA3,1707,651,3.0,217.0
41,1708,1254,1241.0,1.0104754230459307,0017000000SbVFkAAN,1708,218,6.0,36.333333333333336
42,1726,15954,13454.0,1.1858183439869183,0017000000SbVCWAA3,1726,465,33.0,14.090909090909092
43,1729,4460,4358.0,1.023405231757687,0017000000SbVAaAAN,1729,5524,23.0,240.17391304347825
44,1766,13010,12733.0,1.0217544961909997,0017000000SbV7lAAF,1766,373,17.0,21.941176470588236
45,1767,1241,1215.0,1.0213991769547326,0017000000SbVBqAAN,1767,616,14.0,44.0
46,1806,351,331.0,1.0604229607250755,0017000000SbVMGAA3,1806,1416,4.0,354.0
47,1807,117,111.0,1.054054054054054,0017000000SbVERAA3,1807,246,3.0,82.0
48,1826,2618,2550.0,1.0266666666666666,0017000000SbVIFAA3,1826,316,7.0,45.142857142857146
49,1827,1353,1301.0,1.0399692544196772,0017000000SbVBYAA3,1827,817,13.0,62.84615384615385
50,1847,4777,4657.0,1.025767661584711,0017000000SuyGMAAZ,1847,950,18.0,52.77777777777778
51,1866,6089,6053.0,1.0059474640674047,0017000000SbVBRAA3,1866,2884,15.0,192.26666666666668
52,187010,964,931.0,1.0354457572502684,0010g00001j66JQAAY,187010,469,5.0,93.8
53,187011,909,756.0,1.2023809523809523,0010g00001Z5Ld6AAF,187011,74,4.0,18.5
54,188015,262,244.0,1.0737704918032787,0014u00001mr8zqAAA,188015,27,3.0,9.0
55,1886,79,75.0,1.0533333333333332,0017000000SbVMOAA3,1886,603,26.0,23.192307692307693
56,1887,19,14.0,1.3571428571428572,0017000000SbVNOAA3,1887,445,3.0,148.33333333333334
57,1888,272,257.0,1.0583657587548638,0017000000SbVHgAAN,1888,2108,19.0,110.94736842105263
58,1926,1,1.0,1.0,0017000000SbVNnAAN,1926,39,15.0,2.6
59,1928,6190,5354.0,1.15614493836384,0017000000SbVJrAAN,1928,1188,21.0,56.57142857142857
60,194012,1171,1101.0,1.0635785649409628,0017000000SbV6TAAV,194012,223,10.0,22.3
61,200012,14820,14602.0,1.014929461717573,0010g00001hmc2tAAA,200012,172,14.0,12.285714285714286
62,2006,491,437.0,1.1235697940503433,0017000000SbVCXAA3,2006,308,12.0,25.666666666666668
63,203013,413,358.0,1.1536312849162011,0010g00001lRzTbAAK,203013,346,5.0,69.2
64,203016,208,151.0,1.3774834437086092,0014u00001mrGtaAAE,203016,33,1.0,33.0
65,2046,286,277.0,1.032490974729242,0017000000SbVLvAAN,2046,787,6.0,131.16666666666666
66,2066,1517,1155.0,1.3134199134199134,0017000000SbVGLAA3,2066,340,4.0,85.0
67,208010,829,815.0,1.0171779141104293,0014u00001mriPSAAY,208010,404,4.0,101.0
68,212011,63,6.0,10.5,0010g00001Z5LuRAAV,212011,129,1.0,129.0
69,2126,1777,1617.0,1.0989486703772418,0017000000SbVG7AAN,2126,746,9.0,82.88888888888889
70,213010,12043,11809.0,1.0198153950376831,0010g00001Z5LxQAAV,213010,98,14.0,7.0
71,215010,4689,4557.0,1.0289664252797894,0017000000SbVLzAAN,215010,391,12.0,32.583333333333336
72,2168,1518,1489.0,1.0194761584956347,0017000000SbVCJAA3,2168,134,6.0,22.333333333333332
73,218012,795,756.0,1.0515873015873016,0010g00001lRnBpAAK,218012,119,4.0,29.75
74,2189,12,6.0,2.0,0017000000SbVIwAAN,2189,22,1.0,22.0
75,2210,2562,2538.0,1.0094562647754137,0017000000SbVAuAAN,2210,648,11.0,58.90909090909091
76,2250,43,43.0,1.0,0017000000SbV5WAAV,2250,85,1.0,85.0
77,225010,1081,899.0,1.2024471635150167,0010g00001mqoHSAAY,225010,1138,17.0,66.94117647058823
78,226010,1415,1374.0,1.029839883551674,0017000001KsHwnAAF,226010,501,9.0,55.666666666666664
79,2269,1115,1075.0,1.0372093023255815,0017000000SbVMVAA3,2269,97,6.0,16.166666666666668
80,2289,2510,2148.0,1.1685288640595903,0017000000SbVBDAA3,2289,162,14.0,11.571428571428571
81,23001,13945,13343.0,1.0451172899647756,0010g00001Z5LzkAAF,23001,1157,6.0,192.83333333333334
82,230010,2906,2873.0,1.0114862513052558,0010g00001YI94SAAT,230010,123,8.0,15.375
83,2309,934,900.0,1.0377777777777777,0017000000SbVHsAAN,2309,166,4.0,41.5
84,2329,1332,1315.0,1.0129277566539925,0017000000SbVBKAA3,2329,1124,12.0,93.66666666666667
85,234010,4025,3854.0,1.044369486248054,0010g00001Z5LygAAF,234010,49,3.0,16.333333333333332
86,2349,1369,1253.0,1.0925778132482042,0017000000SbVHEAA3,2349,312,11.0,28.363636363636363
87,238010,1089,1064.0,1.0234962406015038,0010g00001lRCCSAA4,238010,462,10.0,46.2
88,2389,761,745.0,1.0214765100671142,0017000000SbVMiAAN,2389,116,5.0,23.2
89,2391,100,94.0,1.0638297872340425,0017000000SbVO5AAN,2391,52,2.0,26.0
90,2409,111,103.0,1.0776699029126213,0017000000SbVNEAA3,2409,220,5.0,44.0
91,2411,4106,3847.0,1.067325188458539,0017000000SbV6UAAV,2411,881,7.0,125.85714285714286
92,2412,330,304.0,1.0855263157894737,0017000000SbVKXAA3,2412,127,8.0,15.875
93,2429,100,89.0,1.1235955056179776,0017000000SbVMXAA3,2429,713,25.0,28.52
94,244010,411,182.0,2.258241758241758,0010g00001dnvqPAAQ,244010,24,2.0,12.0
95,2449,2697,2305.0,1.170065075921909,0017000000SbV8JAAV,2449,340,7.0,48.57142857142857
96,2452,569,539.0,1.0556586270871986,0017000000SbVCQAA3,2452,74,4.0,18.5
97,2453,4866,4755.0,1.0233438485804416,0017000000SbVM7AAN,2453,1129,34.0,33.205882352941174
