,ACTIVITY,TS,CUSTOMER,ACTIVITY_REPEATED_AT,COUNT_IN_BETWEEN_GS_DEPLOYMENT_ACTIVITY,DEPS
0,QuestionPost_CC,2022-01-03,6953,2022-01-14,2,9128
1,QuestionPost_CC,2022-01-05,6951,2022-02-22,7,12151
2,QuestionPost_CC,2022-01-05,1847,2022-06-29,6,3691
3,QuestionPost_CC,2022-01-06,1025,2022-01-20,1,1848
4,QuestionPost_CC,2022-01-12,2411,2022-04-27,3,3122
5,QuestionPost_CC,2022-01-12,4410,2023-01-20,1,223
6,QuestionPost_CC,2022-01-17,1305,2022-02-17,1,1497
7,QuestionPost_CC,2022-01-18,6953,2022-01-20,1,9212
8,QuestionPost_CC,2022-01-18,7799,2022-03-24,2,4224
9,QuestionPost_CC,2022-01-20,6953,2022-01-24,1,9296
10,QuestionPost_CC,2022-01-20,1025,2022-01-31,1,1899
11,QuestionPost_CC,2022-01-21,6568,2022-05-12,1,1212
12,QuestionPost_CC,2022-01-22,123010,2022-02-16,1,988
13,QuestionPost_CC,2022-01-24,6953,2022-03-03,4,9703
14,QuestionPost_CC,2022-01-24,3803,2022-04-14,5,4521
15,QuestionPost_CC,2022-01-25,14001,2022-01-27,1,6569
16,QuestionPost_CC,2022-01-25,2126,2022-04-23,1,1109
17,QuestionPost_CC,2022-01-26,2389,2022-09-08,2,707
18,QuestionPost_CC,2022-01-27,14001,2022-02-15,3,6869
19,QuestionPost_CC,2022-01-27,6893,2022-08-31,1,906
20,QuestionPost_CC,2022-01-27,7677,2023-01-06,1,243
21,QuestionPost_CC,2022-01-31,1866,2022-02-11,1,4867
22,QuestionPost_CC,2022-01-31,1025,2022-02-17,1,1980
23,QuestionPost_CC,2022-02-04,3438,2022-03-16,1,468
24,QuestionPost_CC,2022-02-04,6466,2023-03-03,1,94
25,QuestionPost_CC,2022-02-08,6737,2022-04-18,8,9431
26,QuestionPost_CC,2022-02-08,6928,2022-11-05,2,146
27,QuestionPost_CC,2022-02-09,3546,2022-02-14,1,1574
28,QuestionPost_CC,2022-02-10,8597,2022-08-22,19,9698
29,QuestionPost_CC,2022-02-11,1866,2022-04-06,4,5235
30,QuestionPost_CC,2022-02-15,14001,2022-03-05,1,7042
31,QuestionPost_CC,2022-02-15,3535,2022-06-22,1,315
32,QuestionPost_CC,2022-02-16,123010,2022-02-24,1,1089
33,QuestionPost_CC,2022-02-16,3479,2022-05-20,11,10859
34,QuestionPost_CC,2022-02-16,6465,2022-06-16,1,1501
35,QuestionPost_CC,2022-02-17,1025,2022-03-03,1,2089
36,QuestionPost_CC,2022-02-17,6957,2022-05-20,1,1753
37,QuestionPost_CC,2022-02-21,3514,2022-06-17,1,705
38,QuestionPost_CC,2022-02-22,6951,2022-07-22,18,15660
39,QuestionPost_CC,2022-02-22,3490,2023-01-03,9,4265
40,QuestionPost_CC,2022-02-23,7721,2022-03-15,2,7971
41,QuestionPost_CC,2022-02-24,6715,2022-09-28,6,2955
42,QuestionPost_CC,2022-03-01,2500,2022-03-29,3,11480
43,QuestionPost_CC,2022-03-03,1025,2022-03-11,1,2117
44,QuestionPost_CC,2022-03-05,14001,2022-03-12,1,7110
45,QuestionPost_CC,2022-03-08,6953,2022-03-11,1,9776
46,QuestionPost_CC,2022-03-12,14001,2022-08-17,16,8634
47,QuestionPost_CC,2022-03-15,6953,2022-04-07,3,9948
48,QuestionPost_CC,2022-03-15,7721,2023-01-25,41,12227
49,QuestionPost_CC,2022-03-21,1729,2022-05-04,3,3128
50,QuestionPost_CC,2022-03-24,7799,2022-09-25,15,5113
51,QuestionPost_CC,2022-03-29,2500,2022-05-19,8,12657
52,QuestionPost_CC,2022-04-06,8151,2022-05-05,1,836
53,QuestionPost_CC,2022-04-06,1866,2022-06-01,7,5487
54,QuestionPost_CC,2022-04-07,8948,2022-04-27,3,6721
55,QuestionPost_CC,2022-04-07,6953,2022-04-27,2,10053
56,QuestionPost_CC,2022-04-11,6471,2022-12-28,30,10764
57,QuestionPost_CC,2022-04-13,123010,2022-06-24,1,1774
58,QuestionPost_CC,2022-04-13,519176,2022-08-15,2,780
59,QuestionPost_CC,2022-04-14,3803,2022-06-27,3,4909
60,QuestionPost_CC,2022-04-18,6737,2022-11-10,19,11732
61,QuestionPost_CC,2022-04-23,2126,2022-09-15,1,1310
62,QuestionPost_CC,2022-04-26,6751,2022-11-23,5,2795
63,QuestionPost_CC,2022-04-27,6953,2022-05-06,1,10264
64,QuestionPost_CC,2022-04-27,2411,2022-05-26,1,3219
65,QuestionPost_CC,2022-04-29,5635,2022-07-12,2,1610
66,QuestionPost_CC,2022-05-03,7252,2022-05-19,1,1075
67,QuestionPost_CC,2022-05-04,1729,2022-08-30,5,3620
68,QuestionPost_CC,2022-05-06,8320,2022-12-14,5,2150
69,QuestionPost_CC,2022-05-09,6315,2022-06-06,2,5039
70,QuestionPost_CC,2022-05-09,3427,2022-12-07,3,2065
71,QuestionPost_CC,2022-05-10,8948,2022-07-05,6,8152
72,QuestionPost_CC,2022-05-10,8587,2022-09-01,1,2702
73,QuestionPost_CC,2022-05-11,6953,2022-07-28,7,11330
74,QuestionPost_CC,2022-05-12,1022,2022-06-13,1,202
75,QuestionPost_CC,2022-05-12,6568,2022-11-01,7,4546
76,QuestionPost_CC,2022-05-16,6738,2022-12-28,1,143
77,QuestionPost_CC,2022-05-18,7362,2022-07-15,1,465
78,QuestionPost_CC,2022-05-19,2500,2023-06-14,146,19484
79,QuestionPost_CC,2022-05-20,3479,2022-06-08,2,11006
80,QuestionPost_CC,2022-05-20,6957,2022-11-09,6,2897
81,QuestionPost_CC,2022-05-20,4681,2023-02-16,4,2914
82,QuestionPost_CC,2022-05-25,3471,2022-06-24,1,519
83,QuestionPost_CC,2022-05-26,2411,2023-02-11,11,4239
84,QuestionPost_CC,2022-05-31,238010,2022-10-19,2,1028
85,QuestionPost_CC,2022-06-02,6942,2023-02-27,8,3719
86,QuestionPost_CC,2022-06-03,3442,2022-08-04,1,1008
87,QuestionPost_CC,2022-06-06,6315,2022-07-13,1,5275
88,QuestionPost_CC,2022-06-07,5721,2022-09-16,1,573
89,QuestionPost_CC,2022-06-08,1866,2022-06-15,1,5514
90,QuestionPost_CC,2022-06-08,3479,2023-02-20,48,14248
91,QuestionPost_CC,2022-06-09,6633,2022-07-12,1,287
92,QuestionPost_CC,2022-06-15,1866,2022-06-27,1,5575
93,QuestionPost_CC,2022-06-16,6461,2022-08-08,3,3866
94,QuestionPost_CC,2022-06-16,6465,2022-11-23,4,1966
95,QuestionPost_CC,2022-06-20,3546,2022-08-17,1,2068
96,QuestionPost_CC,2022-06-21,1305,2022-08-26,2,1928
97,QuestionPost_CC,2022-06-22,1025,2022-07-22,1,2634
98,QuestionPost_CC,2022-06-22,3438,2022-08-26,1,517
99,QuestionPost_CC,2022-06-24,123010,2022-07-18,1,2119
100,QuestionPost_CC,2022-06-27,3803,2022-07-05,1,5088
101,QuestionPost_CC,2022-06-27,535297,2023-01-26,1,30
102,QuestionPost_CC,2022-06-27,1806,2023-05-30,3,531
103,QuestionPost_CC,2022-06-29,1847,2022-07-20,2,3808
104,QuestionPost_CC,2022-06-30,8758,2022-07-21,1,1396
105,QuestionPost_CC,2022-07-01,5820,2022-12-15,1,42
106,QuestionPost_CC,2022-07-05,7252,2022-07-08,1,1177
107,QuestionPost_CC,2022-07-05,3803,2022-09-07,4,5481
108,QuestionPost_CC,2022-07-05,8948,2022-10-11,11,9990
109,QuestionPost_CC,2022-07-06,6883,2023-02-07,1,137
110,QuestionPost_CC,2022-07-08,7252,2022-08-03,1,1209
111,QuestionPost_CC,2022-07-12,6633,2022-11-10,1,425
112,QuestionPost_CC,2022-07-13,6315,2022-11-10,11,6401
113,QuestionPost_CC,2022-07-18,123010,2022-11-09,2,3365
114,QuestionPost_CC,2022-07-20,3535,2022-09-30,1,1277
115,QuestionPost_CC,2022-07-20,1847,2023-01-06,12,4777
116,QuestionPost_CC,2022-07-21,8758,2022-08-09,1,1440
117,QuestionPost_CC,2022-07-22,1025,2022-08-09,3,2756
118,QuestionPost_CC,2022-07-22,6951,2023-02-14,45,20944
119,QuestionPost_CC,2022-07-28,1866,2022-08-10,2,5742
