,ACTIVITY,ACTIVITY_ID,TS,CUSTOMER,FEATURE_JSON,ACTIVITY_OCCURRENCE,ACTIVITY_REPEATED_AT
0,TextComment_CC,CC_78017,2022-11-03,1729,"{
  ""subject"": ""NerdsOfAFeather""
}",6471,2022-11-03
1,TextComment_CC,CC_78022,2022-11-03,1729,"{
  ""subject"": ""NerdsOfAFeather""
}",6472,2022-11-03
2,TextComment_CC,CC_78023,2022-11-03,1729,"{
  ""subject"": ""NerdsOfAFeather""
}",6473,2022-11-04
3,FeedView_CC,CC_704214,2022-11-03,6953,"{
  ""subject"": ""Premises Products""
}",7004,2022-11-03
4,FeedView_CC,CC_704213,2022-11-03,6953,"{
  ""subject"": ""Premises Products""
}",7005,2022-11-08
5,gs_deployment,DEP_6334,2022-11-03,3803,"{
  ""cumulative_value"": 5853,
  ""num_subscribers"": 5812
}",25,2022-11-12
6,FeedView_CC,CC_703714,2022-11-03,6715,"{
  ""subject"": ""Premises Products""
}",2080,2022-11-03
7,FeedView_CC,CC_703715,2022-11-03,6715,"{
  ""subject"": ""Premises Products""
}",2081,2022-11-04
8,FeedView_CC,CC_705764,2022-11-03,1729,"{
  ""subject"": ""NerdsOfAFeather""
}",8270,2022-11-03
9,FeedView_CC,CC_705765,2022-11-03,1729,"{
  ""subject"": ""NerdsOfAFeather""
}",8269,2022-11-04
10,FeedView_CC,CC_705772,2022-11-03,1729,"{
  ""subject"": ""Premises Products""
}",8271,2022-11-03
11,FeedView_CC,CC_705771,2022-11-03,1729,"{
  ""subject"": ""Support Cloud""
}",8272,2022-11-03
12,FeedView_CC,CC_705770,2022-11-03,1729,"{
  ""subject"": ""Support Cloud""
}",8273,2022-11-03
13,FeedView_CC,CC_705769,2022-11-03,1729,"{
  ""subject"": ""Premises Products""
}",8274,2022-11-03
14,FeedView_CC,CC_705768,2022-11-03,1729,"{
  ""subject"": ""Support Cloud""
}",8275,2022-11-03
15,FeedView_CC,CC_705766,2022-11-03,1729,"{
  ""subject"": ""NerdsOfAFeather""
}",8268,2022-11-03
16,FeedView_CC,CC_705767,2022-11-03,1729,"{
  ""subject"": ""Security""
}",8276,2022-11-03
17,TextComment_CC,CC_78071,2022-11-04,1729,"{
  ""subject"": ""Premises Products""
}",6477,2022-11-04
18,TextComment_CC,CC_78070,2022-11-04,1729,"{
  ""subject"": ""Sip""
}",6476,2022-11-04
19,TextComment_CC,CC_78068,2022-11-04,1729,"{
  ""subject"": ""GW""
}",6474,2022-11-04
20,TextComment_CC,CC_78069,2022-11-04,1729,"{
  ""subject"": ""ONT""
}",6475,2022-11-07
21,FeedView_CC,CC_708309,2022-11-04,1729,"{
  ""subject"": ""SFP Ports""
}",8288,2022-11-04
22,FeedView_CC,CC_708308,2022-11-04,1729,"{
  ""subject"": ""SPF""
}",8287,2022-11-04
23,FeedView_CC,CC_708306,2022-11-04,1729,"{
  ""subject"": ""SFP""
}",8286,2022-11-04
24,FeedView_CC,CC_708305,2022-11-04,1729,"{
  ""subject"": ""NerdsOfAFeather""
}",8285,2022-11-04
25,FeedView_CC,CC_708310,2022-11-04,1729,"{
  ""subject"": ""Support Cloud""
}",8289,2022-11-04
26,FeedView_CC,CC_708298,2022-11-04,1729,"{
  ""subject"": ""E-Series, AXOS""
}",8278,2022-11-07
27,FeedView_CC,CC_708302,2022-11-04,1729,"{
  ""subject"": ""GW""
}",8282,2022-11-04
28,FeedView_CC,CC_708307,2022-11-04,1729,"{
  ""subject"": ""E-Series (EXA)""
}",8277,2022-11-04
29,FeedView_CC,CC_708299,2022-11-04,1729,"{
  ""subject"": ""E9 ASM""
}",8279,2022-11-04
30,FeedView_CC,CC_708300,2022-11-04,1729,"{
  ""subject"": ""Premises Products""
}",8280,2022-11-04
31,FeedView_CC,CC_708301,2022-11-04,1729,"{
  ""subject"": ""Sip""
}",8281,2022-11-04
32,FeedView_CC,CC_708303,2022-11-04,1729,"{
  ""subject"": ""ONT""
}",8283,2022-11-04
33,FeedView_CC,CC_708304,2022-11-04,1729,"{
  ""subject"": ""SMx And DPx""
}",8284,2022-11-04
34,FeedView_CC,CC_706239,2022-11-04,6715,"{
  ""subject"": ""ONT""
}",2084,2022-11-07
35,FeedView_CC,CC_706241,2022-11-04,6715,"{
  ""subject"": ""Sip""
}",2082,2022-11-04
36,FeedView_CC,CC_706149,2022-11-04,6715,"{
  ""subject"": ""Premises Products""
}",2087,2022-11-04
37,FeedView_CC,CC_706150,2022-11-04,6715,"{
  ""subject"": ""Premises Products""
}",2086,2022-11-04
38,FeedView_CC,CC_706238,2022-11-04,6715,"{
  ""subject"": ""Premises Products""
}",2085,2022-11-04
39,FeedView_CC,CC_706240,2022-11-04,6715,"{
  ""subject"": ""GW""
}",2083,2022-11-04
40,FeedView_CC,CC_710794,2022-11-07,1729,"{
  ""subject"": ""ARM""
}",8297,2022-11-07
41,FeedView_CC,CC_710797,2022-11-07,1729,"{
  ""subject"": ""Smart Home & Business""
}",8300,2022-11-07
42,FeedView_CC,CC_710796,2022-11-07,1729,"{
  ""subject"": ""Revenue Edge""
}",8299,2022-11-07
43,FeedView_CC,CC_710795,2022-11-07,1729,"{
  ""subject"": ""E-Series (EXA)""
}",8298,2022-11-07
44,FeedView_CC,CC_710793,2022-11-07,1729,"{
  ""subject"": ""GS""
}",8296,2022-11-07
45,FeedView_CC,CC_710790,2022-11-07,1729,"{
  ""subject"": ""Premises Products""
}",8294,2022-11-07
46,FeedView_CC,CC_710791,2022-11-07,1729,"{
  ""subject"": ""SSH""
}",8295,2022-11-07
47,FeedView_CC,CC_710625,2022-11-07,1729,"{
  ""subject"": ""Support Cloud""
}",8291,2022-11-07
48,FeedView_CC,CC_710788,2022-11-07,1729,"{
  ""subject"": ""Support Cloud""
}",8292,2022-11-07
49,FeedView_CC,CC_710789,2022-11-07,1729,"{
  ""subject"": ""Support Cloud""
}",8293,2022-11-07
50,FeedView_CC,CC_710792,2022-11-07,1729,"{
  ""subject"": ""LXC""
}",8290,2022-11-08
51,FeedView_CC,CC_709264,2022-11-07,6715,"{
  ""subject"": ""Support Cloud""
}",2089,2022-11-11
